message,label
You have won a lottery click the link now,1
Congratulations claim your prize today,1
Urgent your bank account will be blocked,1
Verify your account immediately,1
Meeting scheduled at 10am tomorrow,0
Invoice attached for last month services,0
Family dinner tonight at home,0
Project deadline extended to next week,0
Don't miss out on this limited time offer,1
Your subscription is about to expire,1
Lunch with colleagues at noon,0
Weekly team meeting agenda,0
Reminder your appointment is tomorrow,0
Get rich quick with this simple trick,1
Join our webinar on productivity tips,0
Special discount just for you,1
Happy birthday wish you all the best,0
New job opportunity available apply now,1
Weekly newsletter from your favorite blog,0
Exclusive access to premium content,1
Payment due for outstanding balance,0
Confirm your identity now,1
Project completed and delivered,0
Claim your inheritance from abroad,1
Meeting notes from yesterday's call,0
Update your payment method immediately,1
Thank you for your recent purchase,0
Act now before offer expires,1
Team building event next Friday,0
Verify credentials to continue,1
Your package is on its way,0
Free money waiting for you,1
Doctor appointment confirmation,0
Urgent action required check email,1
Happy new year celebrations,0
Tax refund available process now,1
Quarterly business review scheduled,0
Unbelievable savings on your purchase,1
System maintenance tonight 9-11pm,0
You're eligible for cash bonus,1
Feedback survey for your experience,0
Wire transfer needed immediately,1
Coffee break reminder at 3pm,0
Last chance to secure your spot,1
Budget approval from management,0
Click here to verify your account,1
Monthly expense report due Friday,0
Congratulations you won the lottery,1
Training session next Tuesday 2pm,0
Claim your free gift card now,1
Client feedback meeting scheduled,0
Unlimited earning potential join us,1
Lunch delivery arriving in 15 mins,0
Suspicious activity detected act now,1
Office supplies order confirmation,0
Don't miss this exclusive opportunity,1
Performance review scheduled tomorrow,0
You have unclaimed money waiting,1
Birthday cake in the break room,0
Immediate action required security,1
Sales report for Q1 attached,0
Win a brand new iPhone today,1
Parking permit renewal reminder,0
Get instant cash loans apply now,1
Team lunch rescheduled to 1pm,0
Verify email address to unlock,1
Annual company picnic July 10th,0
Easy money from home no experience,1
Travel itinerary for conference trip,0
Your account will be closed soon,1
Shipment tracking number included,0
Become rich overnight guaranteed,1
Project milestone reached on track,0
Confirm banking details immediately,1
Seminar on leadership development,0
Limited time offer expires today,1
Restaurant reservation at 7pm,0
Refund pending approval process,1
Department meeting minutes attached,0
Strike it rich with our system,1
Prescription ready for pickup,0
Update security information now,1
Team outing details and location,0
You are a lucky winner click,1
Insurance claim status update,0
Investment opportunity huge returns,1
Holiday party RSVP deadline soon,0
Authenticate yourself to proceed,1
Flight confirmation number provided,0
Cash back rewards program join,1
Weekly standup meeting at 10am,0
Your prize is waiting claim now,1
Car service appointment booked,0
Financial opportunity available now,1
Team collaboration tools updated,0
Win big money fast easy,1
